tweet_id,tweet_text
1,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
2,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…"
3,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
4,"RT @Jaspree72749562: #Conference @YogAayog_HRY organises Two days Hybrid conference with Govt. College of Yoga Education and Health, Chandi…"
5,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…
6,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
7,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
8,RT @FrontalForce: CDS Gen Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kasturba Gandhi Mar…
9,"Vice President, Prime Minister and Lok Sabha Speaker jointly launch Sansad TV
https://t.co/am8qpiMpnf via NaMo App https://t.co/EZdUwlvaQX"
10,RT @Karan_Singhs: Breaking: India's top science agency tailored its Covid-19 findings to fit Prime Minister Narendra Modi's narrative on th…
11,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
12,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…"
13,"RT @mohitIndia143: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising t…"
14,"RT @Bjp4Btm: What better way to celebrate our Hon PM Sri Narendra Modi ji Birthday 🎉.Setting new Global records of vaccination, something a…"
15,"Democracy is not just constitutional structure but a spirit, it's 'jeevan dhara': PM Narendra Modi at Sansad TV lau… https://t.co/I9y9TLVaYT"
16,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
17,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…"
